iter	RMSE
130	1227.863657
131	1225.234542
132	1222.39779
133	1219.032159
134	1216.617193
135	1212.977655
136	1210.703977
137	1207.825715
138	1204.790861
139	1202.54332
140	1200.255625
141	1198.094314
142	1196.122763
143	1193.845144
144	1191.873643
145	1188.853872
146	1186.460313
147	1184.620363
148	1182.701617
149	1180.140343
150	1178.474452
151	1176.352817
152	1174.289127
153	1171.347453
154	1169.185935
155	1167.747278
156	1166.263428
157	1164.706653
158	1163.185707
159	1161.230186
160	1158.642898
161	1156.113454
162	1154.353799
163	1151.343453
164	1149.563737
165	1148.384754
166	1146.484801
167	1145.495553
168	1144.076181
169	1142.823104
170	1141.681555
171	1140.171481
172	1138.165989
173	1136.874571
174	1135.408026
175	1134.387223
176	1133.162826
177	1130.757917
178	1129.327738
179	1128.665726
180	1127.321189
181	1126.101093
182	1124.819249
183	1123.478486
184	1121.486251
185	1120.126161
186	1118.756792
187	1117.749266
188	1116.976491
189	1115.225299
190	1114.185139
191	1112.726989
192	1111.136507
193	1109.829933
194	1109.115684
195	1107.91672
196	1106.781483
197	1106.165504
198	1104.958825
199	1103.977235
200	1102.817879
201	1101.63288
202	1100.2062
203	1098.558283
204	1097.795454
205	1096.160351
206	1095.314776
207	1094.030854
208	1092.979602
209	1092.233915
210	1091.196667
211	1090.471069
212	1089.358736
213	1088.49698
214	1087.363843
215	1086.473562
216	1085.548474
217	1084.948514
218	1084.219604
219	1083.146814
220	1082.757253
221	1081.893292
222	1081.025205
223	1079.875602
224	1079.220912
225	1078.094558
226	1077.000871
227	1075.848037
228	1075.228869
229	1074.554821
230	1073.358696
231	1071.917079
232	1071.251937
233	1070.233397
234	1069.618518
235	1069.166429
236	1068.247675
237	1067.213978
238	1066.605607
239	1065.974013
240	1064.942088
241	1063.538829
242	1062.590212
243	1061.683739
244	1060.475469
245	1059.817078
246	1059.40213
247	1058.803849
248	1057.729096
249	1056.857474
250	1056.0107
251	1055.065874
252	1054.611796
253	1053.667936
254	1053.216264
255	1052.256771
256	1051.497838
257	1050.450383
258	1049.432693
259	1048.617866
260	1047.707359
261	1046.977082
262	1046.058448
263	1045.269883
264	1044.222546
265	1043.613744
266	1042.925514
267	1042.110441
268	1041.779602
269	1040.856656
270	1039.363105
271	1038.351332
272	1037.55059
273	1036.486232
274	1036.148704
275	1035.231444
276	1034.285574
277	1033.857169
278	1033.316758
279	1032.500041
280	1031.378109
281	1030.527388
282	1029.636755
283	1028.899957
284	1028.279045
285	1027.753164
286	1026.800871
287	1025.842136
288	1025.250201
289	1024.607441
290	1023.961341
291	1023.653845
292	1022.827767
293	1021.819461
294	1021.163249
295	1020.379744
296	1019.363472
297	1018.667421
298	1018.192572
299	1017.678481
300	1016.787348
301	1016.111656
302	1015.297546
303	1014.428002
304	1013.587421
305	1012.819121
306	1011.933492
307	1011.313566
308	1010.743639
309	1010.011053
310	1009.054989
311	1008.553115
312	1007.692202
313	1007.20478
314	1006.610877
315	1005.826224
316	1004.994637
317	1004.391053
318	1003.815708
319	1003.087684
320	1002.512459
321	1001.618021
322	1000.865883
323	1000.145502
324	999.5423222
325	998.8427246
326	998.1520612
327	997.6167197
328	997.3273545
329	996.6826462
330	995.8998655
331	995.3009089
332	994.8227095
333	993.9731033
334	993.1460203
335	992.6422578
336	992.1028071
337	991.6846207
338	990.6082859
339	989.9265115
340	989.010471
341	988.7233889
342	987.8548348
343	987.3145582
344	986.5389506
345	985.9423056
346	985.2625647
347	984.7853509
348	983.8892564
349	983.5212949
350	982.840564
351	982.3172337
352	981.5931391
353	980.8083524
354	980.1339288
355	979.3916852
356	978.8727688
357	978.4517052
358	977.713645
359	976.8524964
360	976.3029128
361	975.5510626
362	975.0710853
363	974.3198328
364	973.6102545
365	972.936177
366	972.0967635
367	971.7889285
368	971.2606375
369	970.4119759
370	969.9150923
371	969.0300097
372	968.6422924
373	967.9687043
374	967.7514433
375	967.1050321
376	966.483028
377	966.0373842
378	965.1504251
379	964.5687978
380	963.7965301
381	963.3465618
382	962.8869042
383	962.3865701
384	961.9092202
385	961.1620856
386	960.7669799
387	960.1264607
388	959.6294765
389	959.1292707
390	958.8121136
391	958.4262131
392	958.0035407
393	957.1991348
394	956.6535936
395	956.272379
396	955.8075528
397	955.4232081
398	954.7869329
399	954.364608
400	954.0817612
401	953.4235977
402	953.1045605
403	952.3389149
404	951.7681384
405	951.3759417
406	950.9351456
407	950.6379248
408	950.087731
409	949.4981916
410	949.0745704
411	948.6834313
412	948.1316479
413	947.7457772
414	947.2695745
415	947.0094028
416	946.5767266
417	946.1139256
418	945.919884
419	945.4881672
420	945.0364119
421	944.6822146
422	944.0501964
423	943.612296
424	943.1301507
425	942.5187104
426	942.1625864
427	941.7044447
428	941.1511152
429	940.8022643
430	940.5124137
431	939.9859446
432	939.4141733
433	939.0125173
434	938.6844609
435	938.1435731
436	937.3650437
437	937.0513059
438	936.53374
439	935.9874283
440	935.5688018
441	935.1946557
442	934.6237415
443	934.1553734
444	933.7322461
445	933.3196923
446	932.9666091
447	932.4543669
448	932.155962
449	931.8163779
450	931.0831475
451	930.7762108
452	930.4698308
453	930.1093662
454	929.6718323
455	929.2765258
456	928.7446363
457	928.3761416
458	928.0308582
459	927.8755422
460	927.5087769
461	926.9455422
462	926.6900669
463	926.2432982
464	925.9196872
465	925.6189216
466	925.2710247
467	924.7427524
468	924.1625395
469	923.817675
470	923.484681
471	923.026549
472	922.5869269
473	921.9988163
474	921.6650155
475	921.1928106
476	920.8329068
477	920.5641022
478	920.2930553
479	919.8854413
480	919.4600211
481	919.0220557
482	918.6853626
483	918.280461
484	918.0230572
485	917.7403792
486	917.5304864
487	917.2786537
488	916.7655065
489	916.4754682
490	916.2087265
491	915.9138322
492	915.7283492
493	915.3042934
494	914.9077579
495	914.6952551
496	914.3136894
497	914.0716316
498	913.6048402
499	913.0715576
500	912.6597058
501	912.5234942
502	912.3157068
503	911.8826813
504	911.2670657
505	910.6833583
506	910.3694996
507	909.8371106
508	909.3527178
509	909.1757852
510	908.8828573
511	908.5031594
512	907.9783001
513	907.6368931
514	907.2294848
515	906.8049024
516	906.6418053
517	906.3603039
518	905.9130911
519	905.6017168
520	905.3531961
521	904.9754754
522	904.6427955
523	904.5254688
524	904.1060412
525	903.8730905
526	903.5993967
527	903.3674091
528	903.0459575
529	902.592632
530	902.2112405
531	902.0379921
532	901.8846501
533	901.4212739
534	900.9545975
535	900.5845035
536	900.3767865
537	899.9010977
538	899.4112645
539	899.1213489
540	898.7935735
541	898.5310247
542	898.2437247
543	897.8000392
544	897.6096912
545	897.3495439
546	897.2384672
547	896.8787352
548	896.6605725
549	896.3216259
550	896.0257359
551	895.8905446
552	895.4954667
553	895.2359925
554	894.8497057
555	894.5891509
556	894.3767194
557	894.0203846
558	893.7956032
559	893.5347822
560	893.3578243
561	892.9717076
562	892.7500317
563	892.5878906
564	892.069706
565	891.8228624
566	891.5105741
567	891.2483865
568	891.0955492
569	890.6531105
570	890.5392541
571	890.1665157
572	889.9580446
573	889.6609353
574	889.3297157
575	889.070265
576	888.9084033
577	888.3828196
578	888.2838439
579	887.9293735
580	887.6918643
581	887.3249313
582	886.9156453
583	886.7699321
584	886.4804318
585	886.2294758
586	885.8435094
587	885.3437727
588	885.0252805
589	884.7221102
590	884.4488208
591	884.0749658
592	883.8654466
593	883.5309798
594	883.3396001
595	883.0303334
596	882.4590231
597	882.14778
598	881.9575934
599	881.7166042
600	881.247035
601	880.73973
602	880.4355162
603	880.3090756
604	880.1066261
605	879.9797544
606	879.8077759
607	879.6667993
608	879.3279069
609	879.0418912
610	878.7290552
611	878.4977032
612	877.9810745
613	877.5731075
614	877.2351718
615	876.8225945
616	876.403849
617	876.1072106
618	875.7945948
619	875.4662088
620	875.1829821
621	874.8965857
622	874.7218725
623	874.3678142
624	873.9597276
625	873.6080097
626	873.2773714
627	872.864051
628	872.7182421
629	872.472134
630	872.1049627
631	871.6685082
632	871.3439868
633	871.0849687
634	870.8044033
635	870.5248487
636	870.1990246
637	869.9061997
638	869.6971026
639	869.2171739
640	869.0491048
641	868.7179229
642	868.3507463
643	868.1199488
644	867.7591399
645	867.4442817
646	867.0298718
647	866.6347675
648	866.4292186
649	866.0916979
650	865.868422
651	865.6286665
652	865.2910321
653	865.0389481
654	864.8171305
655	864.541786
656	864.1077373
657	863.7757488
658	863.5136702
659	863.3597526
660	863.0750178
661	862.7930174
662	862.3297677
663	861.9844103
664	861.6812082
665	861.5002008
666	861.086624
667	860.7612776
668	860.5157932
669	860.2150051
670	859.9800634
671	859.7688039
672	859.520069
673	859.2174007
674	858.9308704
675	858.7630037
676	858.3923564
677	858.0136389
678	857.8361206
679	857.6464625
680	857.297687
681	857.1099116
682	856.825675
683	856.4788593
684	856.2257931
685	855.9277792
686	855.6518771
687	855.381621
688	855.0265397
689	854.8157776
690	854.5946494
691	854.2363741
692	854.1081302
693	853.8711441
694	853.6088199
695	853.2796265
696	852.9023555
697	852.6004277
698	852.2909622
699	851.8997471
700	851.5678165
701	851.2945087
702	850.9753114
703	850.6856592
704	850.3513417
705	850.110275
706	849.9245166
707	849.5677703
708	849.310554
709	849.0669169
710	848.7495055
711	848.4151203
712	848.0749533
713	847.8065959
714	847.5629107
715	847.3073793
716	847.1377491
717	846.9177761
718	846.7040026
719	846.4950315
720	846.3746691
721	846.1445785
722	845.8855641
723	845.5736395
724	845.2467308
725	844.942781
726	844.5387923
727	844.2339914
728	844.0796849
729	843.9430541
730	843.6435997
731	843.3517259
732	843.1335395
733	842.8792503
734	842.5677822
735	842.4238108
736	842.1140748
737	841.7772704
738	841.600613
739	841.3453893
740	841.2537511
741	840.8636412
742	840.6304869
743	840.3904958
744	840.2116434
745	840.0223117
746	839.8822903
747	839.682612
748	839.4948807
749	839.2869524
750	838.9902576
751	838.806628
752	838.6843269
753	838.4812534
754	838.28057
755	838.1644638
756	838.0432563
757	837.8183196
758	837.5478996
759	837.2603399
760	837.1413289
761	836.9749341
762	836.7975722
763	836.6568226
764	836.4690797
765	836.2492453
766	836.1371117
767	835.9215066
768	835.5954061
769	835.3787587
770	835.3368669
771	835.0825564
772	834.9506091
773	834.7450047
774	834.4749113
775	834.3153895
776	834.09445
777	833.9735826
778	833.6475117
779	833.3866256
780	833.1959048
781	832.9156191
782	832.7274153
783	832.5221124
784	832.3974674
785	832.0066292
786	831.7755348
787	831.5141322
788	831.1308035
789	830.9924003
790	830.6920902
791	830.4403515
792	830.2343193
793	830.0011231
794	829.6510863
795	829.2953587
796	828.9957966
797	828.7076791
798	828.5488458
799	828.2406608
800	827.9721676
801	827.6826581
802	827.4928027
803	827.2015846
804	827.0221423
805	826.8409199
806	826.5355025
807	826.2143527
808	825.8252441
809	825.5215176
810	825.2188728
811	824.9151974
812	824.5947984
813	824.3474566
814	824.0536839
815	823.7785877
816	823.5964739
817	823.3280355
818	823.1712307
819	822.978245
820	822.8400909
821	822.7236497
822	822.5175407
823	822.3664847
824	822.1532066
825	821.8106583
826	821.7014619
827	821.5681784
828	821.4413294
829	821.2730345
830	821.0432382
831	820.8219129
832	820.6598412
833	820.5515444
834	820.2919977
835	819.9960875
836	819.8230944
837	819.6365677
838	819.5283648
839	819.3090118
840	819.0007128
841	818.8699295
842	818.6383715
843	818.44189
844	818.2710128
845	818.0817958
846	817.8722755
847	817.7020504
848	817.52996
849	817.1886639
850	816.9762834
851	816.8250576
852	816.6183828
853	816.3549376
854	816.1661884
855	815.9093508
856	815.7588181
857	815.6109756
858	815.3913236
859	815.1947966
860	815.0574217
861	814.8217718
862	814.6554692
863	814.4638067
864	814.3335681
865	813.9450784
866	813.7532665
867	813.5688432
868	813.3014954
869	813.0176863
870	812.7996994
871	812.6981453
872	812.4641951
873	812.2643094
874	812.0776383
875	811.8776054
876	811.6085076
877	811.4249743
878	811.2332662
879	810.9453389
880	810.64037
881	810.4132125
882	810.2314403
883	809.9282532
884	809.6864697
885	809.4810387
886	809.4101726
887	809.3504407
888	809.2049526
889	808.9490758
890	808.794377
891	808.6069381
892	808.4432872
893	808.2675942
894	808.0930432
895	807.8991015
896	807.7640637
897	807.5784588
898	807.3302504
899	807.1687359
900	806.9919599
901	806.7303775
902	806.5116298
903	806.2807765
904	806.0417429
905	805.9413824
906	805.6851703
907	805.4674444
908	805.3268688
909	805.1487241
910	804.9323563
911	804.6892187
912	804.5031746
913	804.3309741
914	804.0954724
915	803.9490731
916	803.6207036
917	803.4656233
918	803.4009283
919	803.2757415
920	803.0896809
921	802.9074361
922	802.7310005
923	802.568676
924	802.3087647
925	802.0770386
926	801.881909
927	801.548948
928	801.3078047
929	801.2622565
930	801.1432128
931	800.9048135
932	800.7053699
933	800.4551215
934	800.1830715
935	800.0066147
936	799.8703927
937	799.7239793
938	799.4819727
939	799.3416813
940	799.1374269
941	798.9627889
942	798.8295009
943	798.5840686
944	798.3667354
945	798.1726708
946	798.0568337
947	797.9872416
948	797.7628443
949	797.6026059
950	797.4434972
951	797.251143
952	797.0286344
953	796.982531
954	796.7228596
955	796.5211104
956	796.3857394
957	796.1861191
958	796.0342731
959	795.8836379
960	795.7051705
961	795.5027437
962	795.3441888
963	795.2181291
964	795.047045
965	794.9864641
966	794.8604472
967	794.6809955
968	794.6074757
969	794.4585908
970	794.3128909
971	794.2102459
972	793.9680661
973	793.9134817
974	793.7690724
975	793.6318136
976	793.503883
977	793.1484015
978	792.9994836
979	792.836002
980	792.5890183
981	792.465525
982	792.3076669
983	792.1965922
984	792.0472306
985	791.9185131
986	791.8404902
987	791.6843597
988	791.4914809
989	791.2087875
990	791.0010166
991	790.8579243
992	790.6437457
993	790.4698365
994	790.3020168
995	789.9367436
996	789.7615494
997	789.5942394
998	789.3801816
999	789.1247366
