iter	Logloss
0	0.6791784581
1	0.6667124127
2	0.6543304384
3	0.6420720565
4	0.6313102359
5	0.6207122626
6	0.6109635342
7	0.6017620874
8	0.5933083639
9	0.5841717226
10	0.5759761001
11	0.5681912056
12	0.5606506855
13	0.5539716201
14	0.5472997831
15	0.5408688303
16	0.5353427538
17	0.5295414325
18	0.524537173
19	0.5197200072
20	0.5152240818
21	0.5107441903
22	0.5063428166
23	0.5031280693
24	0.4998969939
25	0.4960963223
26	0.4922006057
27	0.4887897967
28	0.4853624197
29	0.4822269318
30	0.4790667396
31	0.4763969743
32	0.4739525377
33	0.4713860287
34	0.4690281542
35	0.4667197377
36	0.4647344703
37	0.4627058264
38	0.4606458938
39	0.4585410355
40	0.456473177
41	0.4546197938
42	0.4527630148
43	0.4512171577
44	0.4496825454
45	0.4479216203
46	0.4466006935
47	0.4450692166
48	0.4436374203
49	0.4424416029
50	0.4412464699
51	0.4398406685
52	0.4387004739
53	0.4374475131
54	0.4361735091
55	0.435154569
56	0.4339473554
57	0.4327596936
58	0.4317046212
59	0.4307781354
60	0.4298231879
61	0.428965576
62	0.4282210834
63	0.4273265854
64	0.4264615187
65	0.4257138127
66	0.4249765689
67	0.4241558487
68	0.4234850923
69	0.4229050426
70	0.4223129434
71	0.4216583519
72	0.4208609849
73	0.4201539986
74	0.4196387769
75	0.4187899352
76	0.418048949
77	0.4174367883
78	0.4167075683
79	0.4161642951
80	0.4155459646
81	0.4150188034
82	0.4146955591
83	0.4139221834
84	0.4134144432
85	0.4130449439
86	0.4125625975
87	0.4120975119
88	0.411613761
89	0.4110884338
90	0.4105849927
91	0.4101573745
92	0.4096280148
93	0.4091430455
94	0.4087432673
95	0.4084302132
96	0.4081079204
97	0.4076805233
98	0.40725534
99	0.4068682411
100	0.4064253473
101	0.4060614281
102	0.4057613383
103	0.4052716308
104	0.4049759071
105	0.4046243232
106	0.4042399038
107	0.4038747457
108	0.4035415649
109	0.4033620694
110	0.40308782
111	0.4027288166
112	0.4024441418
113	0.4021370678
114	0.4018105288
115	0.4014587769
116	0.401053167
117	0.400775043
118	0.4003775053
119	0.4000168785
120	0.3997754247
121	0.3994785358
122	0.3991655504
123	0.3989498126
124	0.3986838843
125	0.3984441486
126	0.3981492386
127	0.3979451116
128	0.3977159073
129	0.3975275389
130	0.3972806821
131	0.3970208773
132	0.3968647811
133	0.3966729146
134	0.3963855246
135	0.3961688046
136	0.3960621285
137	0.3958358595
138	0.3957164967
139	0.3955064872
140	0.3951935356
141	0.3950179135
142	0.3948558422
143	0.3948085195
144	0.3945921199
145	0.3942879916
146	0.3940414284
147	0.3938419702
148	0.3936661134
149	0.3934770415
150	0.3932362708
151	0.3930503033
152	0.3928345981
153	0.392593011
154	0.3922788367
155	0.3920097245
156	0.3918383669
157	0.3916652616
158	0.3915066899
159	0.391293442
160	0.3911345968
161	0.3910071762
162	0.390845546
163	0.3907267149
164	0.3905358548
165	0.3903553796
166	0.3901857748
167	0.3899804196
168	0.3898020531
169	0.3896165822
170	0.3894916233
171	0.3892181145
172	0.3890764684
173	0.3888848196
174	0.3887011612
175	0.3885256937
176	0.388338838
177	0.388061015
178	0.3878341615
179	0.387583638
180	0.3873977369
181	0.3870915304
182	0.3869316783
183	0.3868688363
184	0.3864534619
185	0.3862629541
186	0.3860912758
187	0.3858247915
188	0.3857298098
189	0.3855756863
190	0.3854171497
191	0.3853213981
192	0.3849997232
193	0.3848435174
194	0.3846863322
195	0.3845126827
196	0.3843003247
197	0.3840925692
198	0.3838819139
199	0.3836813885
200	0.3835361953
201	0.3833705731
202	0.3831726978
203	0.3830231767
204	0.3828316295
205	0.3827146972
206	0.3825239248
207	0.3824346255
208	0.3822722146
209	0.3821742024
210	0.3819610844
211	0.3818036899
212	0.3816691903
213	0.3815201522
214	0.3812945025
215	0.3812004299
216	0.3810776685
217	0.3808613625
218	0.3807432468
219	0.3805789219
220	0.3804489176
221	0.3803013044
222	0.3801728952
223	0.3801095259
224	0.3799007384
225	0.3798038732
226	0.3796568711
227	0.3795368806
228	0.3794073219
229	0.379192478
230	0.3790502572
231	0.3789124697
232	0.3787734477
233	0.3786570693
234	0.378545664
235	0.3784397323
236	0.3782123275
237	0.3780690202
238	0.3779689176
239	0.3779089661
240	0.377794797
241	0.3777121159
242	0.3775651529
243	0.3774950877
244	0.377320914
245	0.3771944551
246	0.3770709308
247	0.3769123202
248	0.3767840805
249	0.3766297024
250	0.3763948595
251	0.3762968015
252	0.3761164139
253	0.3759520699
254	0.3758458897
255	0.3756238992
256	0.3755100867
257	0.3753927797
258	0.3752492624
259	0.3751166367
260	0.3749545953
261	0.374756454
262	0.3747377243
263	0.3746063208
264	0.3744139386
265	0.3743166798
266	0.3742464929
267	0.3741521487
268	0.3740547074
269	0.3739563583
270	0.3738420881
271	0.3737520916
272	0.3735654843
273	0.3733982051
274	0.3732322226
275	0.37309938
276	0.3729752728
277	0.3728898677
278	0.3727920046
279	0.3727078611
280	0.372555309
281	0.3723943965
282	0.3722850966
283	0.3721165969
284	0.3720315541
285	0.371739689
286	0.3716309465
287	0.3715562411
288	0.3714602525
289	0.3712634148
290	0.371122147
291	0.3710247612
292	0.3708143972
293	0.3706443571
294	0.3705276135
295	0.3704048884
296	0.3703151755
297	0.3701166139
298	0.369875792
299	0.3697737138
300	0.3696938983
301	0.3695319978
302	0.3693175245
303	0.3691661676
304	0.3690677251
305	0.3688710004
306	0.3686587541
307	0.3685511658
308	0.3684073376
309	0.3682928947
310	0.3681511811
311	0.3679568118
312	0.3678250306
313	0.3677232844
314	0.3675439096
315	0.3673817714
316	0.3672479902
317	0.3671197228
318	0.3670300658
319	0.3669238527
320	0.3667811406
321	0.3666757855
322	0.3665360071
323	0.3663862939
324	0.3662706949
325	0.3661724913
326	0.3659492433
327	0.3658281829
328	0.3657234094
329	0.3655937591
330	0.3654547549
331	0.3653568596
332	0.365179969
333	0.3650862008
334	0.364907306
335	0.3648139807
336	0.3646566847
337	0.3645501343
338	0.3644370375
339	0.3643640809
340	0.3642663697
341	0.3641581335
342	0.3640093488
343	0.363797407
344	0.3637073634
345	0.3635643827
346	0.3634369068
347	0.3633224869
348	0.3631627923
349	0.3631127806
350	0.3630497664
351	0.3629092065
352	0.3626662278
353	0.3625799137
354	0.362390147
355	0.3621887341
356	0.362097294
357	0.3620157811
358	0.3618443302
359	0.3616575648
360	0.361577821
361	0.361489296
362	0.3613468001
363	0.3611118562
364	0.3609636382
365	0.3608608386
366	0.3607164706
367	0.3606012919
368	0.3604964316
369	0.3603507748
370	0.3602155217
371	0.3601660879
372	0.3600931856
373	0.3600222001
374	0.3598539915
375	0.3597012326
376	0.3595658504
377	0.3594221532
378	0.3593080737
379	0.3591361957
380	0.3590329043
381	0.358950903
382	0.3588281679
383	0.3586837261
384	0.3586245506
385	0.3584673233
386	0.3583004961
387	0.3581569875
388	0.3580694085
389	0.3579584082
390	0.3578724126
391	0.3577019596
392	0.3576153881
393	0.3574305824
394	0.357337665
395	0.3572699141
396	0.3571145265
397	0.3569665079
398	0.3567681674
399	0.3566886151
400	0.3565881694
401	0.3564981245
